"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Jaxson Hayes","Lal","C-F","24.4","5","15.8","10.1","28.7","4","1","12","0.917","0","0","0.917","0.945","5.2","3.8","1.4","0.4","0.4","1","9","6.6","10.4","7.7","147.5","103.1"
"","Pat Connaughton","Mil","G","31.8","4","17.5","14.7","12.8","2","1","6","0.5","14","0.286","0.45","0.479","5","3.5","1","0","0.3","0.8","8.5","6","9.5","5.9","100.7","113.6"
"","Gary Payton II","Gol","G","31.9","5","11.2","15.2","10.3","4","1","12","0.75","5","0.2","0.618","0.666","5","1.4","1.4","1","0.2","0.4","6.4","6.4","7.8","7.6","139.8","99.5"
"","John Konchar","Mem","G","28.6","3","18.9","6.9","24","4","0.75","0","0","6","0.667","1","0.966","5","4.7","1","0.7","0.7","0.7","9.7","6","10.7","6.1","150.8","112.9"
"","Kris Murray","Por","F","24.2","5","16.8","13.9","19.9","8","0.375","11","0.455","9","0.444","0.55","0.531","5","3","1.2","0.4","0.2","1","8","6.2","9.2","6.2","104","115.8"
"","Jamal Cain","Nor","F","25.6","2","13.3","10.9","16.1","2","0.5","3","1","2","0.5","0.9","0.85","5","1","0.5","0.5","0.5","0.5","6","5.5","6.5","4.1","139.8","105.9"
"","Ben Sheppard","Ind","G","23.3","5","15.3","11.2","5","0","0","8","0.625","11","0.455","0.658","0.658","5","2.2","0.8","0.2","0.4","0.2","7.2","5.8","8","5.4","132.3","109.4"
"","Stephon Castle","San","G","20","4","20.8","19","24","9","0.667","17","0.412","8","0","0.28","0.345","5","1.8","3.5","0.8","0.5","2","6.8","8.5","10.3","6.1","79.9","106.8"
"","Jared McCain","Phi","G","20.7","4","11.8","19.4","10.3","6","1","13","0.538","4","0","0.412","0.509","5","2","1.3","0","0","0.5","7","6.3","8.3","8","113.8","117.8"
"","Kyshawn George","Was","F","20.9","4","25","12.4","10.3","4","0.5","10","0.6","16","0.125","0.346","0.36","5","2.8","2.8","1","1.3","0.8","7.8","7.8","10.5","5.4","89.7","106.1"
"","Gary Harris","Orl","G","30.1","5","17.4","11.3","4.3","0","0","3","0","19","0.421","0.545","0.545","4.8","1.8","0.6","0","0.8","0.2","6.6","5.4","7.2","4","112.5","114.2"
"","KJ Martin","Phi","F","23.8","4","20.9","6.9","0","6","0.667","10","0.6","1","1","0.682","0.696","4.8","3.3","1","0.5","0.5","0","8","5.8","9","4.8","157.1","101.5"
"","Blake Wesley","San","G","21.6","4","10","24.1","14.8","6","0.667","12","0.5","5","0.2","0.441","0.484","4.8","1","1.5","0","0","0.8","5.8","6.3","7.3","7.7","103.4","117.6"
"","Jabari Walker","Por","F","22.3","5","12.8","15.3","9.3","7","1","13","0.538","6","0.167","0.447","0.543","4.8","3.6","0","0","0.2","0.4","8.4","4.8","8.4","0","115.6","102.2"
"","Simone Fontecchio","Det","F","28.9","5","18.4","14.3","11","8","0.875","7","0.143","17","0.294","0.354","0.436","4.8","2.6","0.4","0","0.2","0.6","7.4","5.2","7.8","3.7","97.7","114.6"
"","Donovan Clingan","Por","C","20.7","5","12.7","14","19.7","4","0.75","15","0.6","1","1","0.656","0.676","4.8","5.8","0","0.4","1.8","0.8","10.6","4.8","10.6","0","121.7","90.2"
"","Spencer Dinwiddie","Dal","G","31.6","3","14.7","13","16.4","4","0.5","1","0","9","0.444","0.6","0.595","4.7","1","1","0.3","0.3","0.7","5.7","5.7","6.7","4.6","110.3","107.5"
"","Lonzo Ball","Chi","G","27","3","15.7","14.7","17.6","0","0","2","0.5","12","0.333","0.5","0.5","4.7","2.7","3.7","0","0.3","1","7.3","8.3","11","9.2","106.9","103.9"
"","Taylor Hendricks","Uta","F","20.9","3","24.8","11.7","9.8","4","0.75","6","0.167","12","0.25","0.306","0.354","4.7","5","0.7","1.7","1.3","0.7","9.7","5.3","10.3","4.1","85.3","107.6"
"","Julian Phillips","Chi","F","21","5","13.8","15.5","15.8","3","0.667","7","0.429","14","0.357","0.5","0.515","4.6","1.4","0.4","1","0","0.8","6","5","6.4","4","91","104.2"
"","Alec Burks","Mia","G","33.3","2","16.8","6.7","0","0","0","1","0","4","0.75","0.9","0.9","4.5","1.5","1","0","0.5","0","6","5.5","7","4.5","174.4","122.6"
