"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Shake Milton","Bro","G","28.1","5","8.5","8.1","0","0","0","1","0","7","0.286","0.375","0.375","1.2","0.6","1","0.2","0","0","1.8","2.2","2.8","4.2","108.5","111.4"
"","Garrett Temple","Tor","G-F","38.5","2","4.4","9.3","0","0","0","1","1","1","0","0.5","0.5","1","0","1","0.5","0","0","1","2","2","0","140.4","99.7"
"","Anthony Gill","Was","F","32","2","1.6","37.8","33.3","0","0","2","0.5","0","0","0.5","0.5","1","0","0.5","0.5","0","0.5","1","1.5","1.5","0","0","0"
"","D.J. Carton","Tor","G","24.2","3","9.4","16.4","35","1","1","4","0.25","3","0","0.143","0.202","1","1.3","1","0.7","0","1.3","2.3","2","3.3","4.6","44.4","119.7"
"","Marcus Sasser","Det","G","24.1","2","2.3","9.4","0","0","0","1","1","0","0","1","1","1","1","1","0","0","0","2","2","3","17.4","0","0"
"","Karlo Matkovic","Nor","F-C","23.6","2","2.4","26.9","66.7","0","0","1","1","0","0","1","1","1","2","0","0","0.5","1","3","1","3","0","0","0"
"","Reece Beekman","Gol","G","23.1","2","2.1","10","0","0","0","1","1","0","0","1","1","1","0.5","0.5","0.5","0","0","1.5","1.5","2","12","0","0"
"","Matas Buzelis","Chi","F","20","5","5.6","18.8","8.2","2","0.5","6","0.333","5","0","0.182","0.21","1","0.6","0.6","0.2","0","0.2","1.6","1.6","2.2","5.1","60.4","94.4"
"","Duop Reath","Por","C","28.3","3","3","22.9","20","0","0","2","0","2","0.5","0.375","0.375","1","0.7","0.7","0","0.3","0.3","1.7","1.7","2.3","10.5","0","0"
"","Bronny James","Lal","G","20.1","2","4","21.2","0","0","0","2","0.5","2","0","0.25","0.25","1","0.5","1","0.5","0","0","1.5","2","2.5","7.9","92.7","115.3"
"","Gui Santos","Gol","F","22.4","4","3.8","13.3","47.4","2","0.5","1","1","1","0","0.5","0.521","0.8","1","0.5","0","0","0.5","1.8","1.3","2.3","7.8","0","0"
"","Dwight Powell","Dal","F-C","33.3","3","1.3","11","0","0","0","1","1","0","0","1","1","0.7","0.3","0","0","0","0","1","0.7","1","0","0","0"
"","Talen Horton-Tucker","Chi","G","23.9","3","4.4","17.9","71.1","4","0.5","1","0","0","0","0","0.362","0.7","1.3","0.3","0","0","1","2","1","2.3","5.9","54.7","111"
"","Dru Smith","Mia","G","26.8","3","8.5","10.5","16.7","0","0","4","0.25","1","0","0.2","0.2","0.7","2","0.7","0","1.3","0.3","2.7","1.3","3.3","4.7","73.1","105.8"
"","Johnny Davis","Was","G","22.7","3","5.4","9.9","0","0","0","3","0.333","1","0","0.25","0.25","0.7","0.3","0.3","0","0","0","1","1","1.3","2.9","83.2","116.4"
"","Ryan Rollins","Mil","G","22.3","3","1.9","6.7","0","2","1","0","0","0","0","0","1.136","0.7","0","0","0","0","0","0.7","0.7","0.7","0","0","0"
"","Adem Bona","Phi","F","21.6","3","2.3","6.2","0","0","0","1","1","0","0","1","1","0.7","0.3","0","0","0.3","0","1","0.7","1","0","0","0"
"","Oso Ighodaro","Pho","F","22.3","3","8.5","7.1","50","0","0","2","0.5","0","0","0.5","0.5","0.7","2.7","0.3","0","0.3","0.7","3.3","1","3.7","3.9","87.1","91.8"
"","AJ Johnson","Mil","G","19.9","3","2.1","20.2","0","0","0","3","0.333","0","0","0.333","0.333","0.7","0.3","0","0","0","0","1","0.7","1","0","0","0"
"","Brandon Boston Jr.","Nor","G","22.9","2","6.5","15.8","23.7","2","0.5","2","0","1","0","0","0.129","0.5","1.5","1.5","1","0","0.5","2","2","3.5","6.4","55.8","109.7"
"","Jaden Springer","Bos","G","22.1","2","3.7","16.5","45","2","0.5","1","0","0","0","0","0.266","0.5","1.5","0.5","0","0","0.5","2","1","2.5","7.8","0","0"
"","Jordan Walsh","Bos","G","20.7","4","9.2","8.1","0","0","0","2","0.5","5","0","0.143","0.143","0.5","1","0.3","0","0.3","0","1.5","0.8","1.8","2.3","55.1","110.9"
"","Cui Yongxi","Bro","F","21.4","2","1.6","12.2","0","2","0.5","0","0","0","0","0","0.568","0.5","0","0","0","0","0","0.5","0.5","0.5","0","0","0"
"","Reggie Jackson","Phi","G","34.5","1","3.4","24.8","50","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"","Joe Ingles","Min","F-G","37.1","4","5.4","4.1","0","0","0","0","0","2","0","0","0","0","0.3","1.8","0","0","0","0.3","1.8","2","0","143.6","96.6"
"","Vlatko Cancar","Den","F","27.6","1","1.6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Jevon Carter","Chi","G","29.1","1","4.4","9.3","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","1","0","58.4","101.9"
"","Aaron Holiday","Hou","G","28.1","1","2.2","18.5","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0"
"","Jordan McLaughlin","Sac","G","28.6","3","4","11.1","66.7","0","0","1","0","0","0","0","0","0","0","0.7","0","0","0.7","0","0.7","0.7","0","36.7","92.3"
"","Jalen Pickett","Den","G","25","1","1.6","27","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Charles Bassey","San","C-F","24","1","6","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","1","2","0","0","105.9"
"","Zeke Nnaji","Den","F-C","23.8","1","1.6","27","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Paul Reed","Det","F","25.4","1","6.6","13","100","0","0","0","0","0","0","0","0","0","1","1","0","0","2","1","1","2","0","0","124.8"
"","Trevelin Queen","Orl","G","27.7","1","3.1","13.8","100","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"","Jae'Sean Tate","Hou","F","29","1","2.2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","2","0","0","0"
"","Jeff Dowtin Jr.","Phi","G","27.5","1","2.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Brandon Williams","Dal","G","24.9","1","1.1","38","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Johnny Juzang","Uta","G","23.6","1","7.3","11","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","105.6"
"","Justin Champagnie","Was","G-F","23.3","1","3.9","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","2","1","3","0","0","0"
"","Kessler Edwards","Dal","F","24.2","1","1.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Ariel Hukporti","Nyk","C","22.6","3","7.9","5.8","66.7","0","0","1","0","0","0","0","0","0","2.3","0","0","1.3","0.7","2.3","0","2.3","0","0","109.4"
"","Mac McClung","Orl","G","25.8","1","4.9","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","2","3","0","0","113.5"
"","Wendell Moore Jr.","Det","G","23.1","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","JD Davison","Bos","G","22.1","1","8.1","21","75","0","0","0","0","1","0","0","0","0","1","1","0","0","3","1","1","2","0","16.5","105.3"
"","Jacob Toppin","Nyk","F","24.5","2","2.5","9.3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Lester Quinones","Phi","G","24","1","2.7","15.6","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","2","0","0","0"
"","Trey Alexander","Den","G","21.5","1","1.6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Dariq Whitehead","Bro","G-F","20.2","1","2","42.8","100","0","0","0","0","0","0","0","0","0","1","0","0","0","2","1","0","1","0","0","0"
"","Colby Jones","Sac","G","22.4","2","3.2","6.9","100","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.5","0","0","0","0","0","0"
"","Olivier-Maxence Prosper","Dal","F","22.3","3","2.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Tristan da Silva","Orl","F","23.5","1","5.4","15.8","50","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","119"
"","Jazian Gortman","Dal","G","21.6","1","1","41.8","100","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"","Dillon Jones","Okc","F","23","4","2.4","12.8","33.3","0","0","1","0","1","0","0","0","0","0.5","0","0.3","0","0.3","0.5","0","0.5","0","0","0"
"","Drew Peterson","Bos","F","25","2","2.9","14.9","50","0","0","0","0","1","0","0","0","0","0.5","0","0.5","1","0.5","0.5","0","0.5","0","0","0"
"","Antonio Reeves","Nor","G","21.9","2","2.4","62.7","14.3","0","0","2","0","4","0","0","0","0","0.5","0","0","0","0.5","0.5","0","0.5","0","0","0"
"","Hunter Tyson","Den","F","24.4","1","1.6","27","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Kel'el Ware","Mia","C","20.5","1","6.3","14.2","50","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","1","0","0","101.3"
"","Johnny Furphy","Ind","G","19.9","1","5","25.7","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","129.4"
"","Isaac Jones","Sac","F","24.3","2","2.5","9","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Daniss Jenkins","Det","G","23.2","1","1.5","28.7","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Alex Ducas","Okc","G","23.9","4","1.8","17","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Yuki Kawamura","Mem","G","23.5","3","2.3","23.1","25","0","0","0","0","3","0","0","0","0","0","0.3","0","0","0.3","0","0.3","0.3","0","0","0"
"","Cam Reddish","Lal","F-G","25.2","1","9.2","9.2","50","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","121.5"
"","Tyrese Martin","Bro","F","25.7","1","1.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Torrey Craig","Chi","F","33.9","1","3.4","12","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","2","0","2","0","0","0"
"","Sidy Cissoko","San","G","20.6","1","2.8","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","2","0","0","0"
